references,GROUP_HawOL,Sample_HawOL,GeographicSetting_HawOL,Locality_HawOL,NumberPoint_HawOL,Fo_HawOL,Mnppm_HawOL,Nippm_HawOL,GROUP_MORBOL,Sample_MORBOL,GeographicSetting_MORBOL,Locality_MORBOL,NumberPoint_MORBOL,Fo_MORBOL,Mnppm_MORBOL,Nippm_MORBOL,volcano_island,Year_Haw,CITATION_Haw,SAMPLE NAME_Haw,LOCATION_Haw,FeOt_100_Haw,MgO_100_Haw,MnO_100_Haw,Ni_Haw,FeOMnO_100_Haw,GeoName_MORB,VG no#_MORB,Ocean_MORB,FeOt_MORB,MgO_MORB,MnO_MORB,Ni_MORB,FeOMnO_MORB
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-3a-LA ,89.91,1038,3764,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 8-APRIL-01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.14928969,8.014219466,0.181911665,103,61.2895808,Gakkel_EVZ,HLY0102-054-001,,8.37079,8.6928,0.15669259,148.53491,53.42173488
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-54a-LA ,89.9,1046,3756,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 27.APR.01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.11529585,7.642874689,0.1826982,91,60.83965715,Gakkel_EVZ,HLY0102-054-003,,8.26526,8.77109,0.15512733,155.04843,53.280489
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-15a ,89.88,1053,3819,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 24.MAY.01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.15617129,7.672441914,0.17275697,94,64.57725723,Gakkel_EVZ,HLY0102-054-019,,8.43774,8.90719,0.15766172,158.23793,53.51800044
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-50a ,89.87,1038,3567,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 07.JUL.01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.11394961,7.481716958,0.172811397,91,64.31259629,Gakkel_EVZ,HLY0102-055-003,,9.65646,8.54068,0.17485913,144.09612,55.22422535
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-29a-LA ,89.87,1053,3787,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 15.JUL.01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.12841392,7.149675571,0.172894004,83,64.36552837,Gakkel_EVZ,HLY0102-055-009,,9.47551,8.58361,0.17362041,141.01153,54.57601442
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-61a-LA ,89.86,1061,3709,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 29-SEP-01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.09842581,6.763305184,0.181972337,69,60.98963168,Gakkel_EVZ,HLY0102-055-017,,9.54831,8.967,0.17492375,156.64279,54.58555513
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-40a ,89.86,1053,3811,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 13.OCT.01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.1796287,7.405591724,0.172695555,88,64.73605357,Gakkel_EVZ,HLY0102-055-019,,9.58762,8.74111,0.1753623,145.9392,54.67321083
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-11b-LA,89.86,1038,3866,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 03.NOV.01,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.17803831,7.375971849,0.172953823,83,64.63018924,Gakkel_EVZ,HLY0102-055-HE,,9.63851,8.79002,0.17472646,170.6995,55.16342516
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-23a ,89.86,1046,3772,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 12.JAN.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.20750808,8.157657175,0.17270258,106,64.89485033,Gakkel_EVZ,HLY0102-055-SG,,9.55681,8.86539,0.17369257,156.63046,55.02140938
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-44a ,89.84,1046,3795,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 09.FEB.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.22186584,8.003232342,0.172221455,103,65.15951128,Gakkel_EVZ,HLY0102-061-003,,8.15398,8.5584,0.15144334,153.03174,53.84178664
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-15b ,89.84,1053,3795,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 27.MAR.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.15216956,7.531455587,0.172553565,87,64.63018924,Gakkel_EVZ,HLY0102-061-005,,7.96758,8.54959,0.14948723,148.55235,53.29940223
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-54a ,89.82,1053,3740,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 05.APR.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.12248875,7.89243323,0.172235385,94,64.57725716,Gakkel_EVZ,HLY0102-061-016,,8.04135,8.52945,0.14962122,150.84992,53.74471616
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-11a ,89.81,1030,3811,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 12-APR-02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.19909521,8.131635692,0.17215169,100,65.05364664,Gakkel_EVZ,HLY0102-061-sg2,,7.81352,8.57111,0.14991909,150.8527,52.11824592
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-29b ,89.8,1053,3756,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 05.JUN.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.16855843,8.038770307,0.181781238,99,61.43955533,Gakkel_EVZ,HLY0102-062-013,,7.51723,8.76412,0.14205664,154.55318,52.91713221
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-32a-LA ,89.78,1053,3787,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 16.JUN.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.21734536,7.821502557,0.182130719,93,61.58952988,Gakkel_EVZ,HLY0102-062-015,,7.59085,8.50178,0.14405219,135.55848,52.69513778
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-61a ,89.77,1069,3677,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 12.JUL.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.11968068,7.187306408,0.182470402,79,60.93964039,Gakkel_EVZ,HLY0102-062-016,,7.57041,8.54726,0.14379975,138.66342,52.64550182
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-34a-LA ,89.76,1069,3756,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 31.JUL.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.17022383,7.55954974,0.182402004,87,61.2395894,Gakkel_EVZ,HLY0102-062-017,,7.44932,8.67622,0.14204218,143.32286,52.44442179
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-5a ,89.74,1069,3725,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 06.AUG.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.12995965,7.582785178,0.181744518,86,61.23958936,Gakkel_EVZ,HLY0102-062-018,,7.44947,8.53649,0.14255614,136.20629,52.25639527
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-47a-LA ,89.74,1046,3693,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 20-AUG-02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.23751487,8.187527062,0.181720699,103,61.83948737,Gakkel_EVZ,HLY0102-064-004,,7.99091,8.53658,0.14907,140.127,53.60508486
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-35b ,89.73,1069,3732,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 27.SEP.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.18751988,7.587598089,0.172676262,88,64.78898576,Gakkel_EVZ,HLY0102-064-006,,8.01482,8.53037,0.14951999,138.89494,53.60366865
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-2b ,89.72,1038,3481,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 19.OCT.02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.14631673,7.239230305,0.182757567,79,60.98963185,Gakkel_EVZ,HLY0102-064-020,,7.99524,8.57197,0.14967693,140.67303,53.41664878
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-60c ,89.72,1084,3677,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 21-NOV-02,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.19338745,7.516416418,0.183079155,91,61.13960625,Gakkel_EVZ,HLY0102-064-033,,7.90369,8.57638,0.14666692,144.12605,53.88870237
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-2a ,89.7,1046,3481,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 11.JAN.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.11924593,7.40190659,0.182763126,82,60.83965717,Gakkel_EVZ,HLY0102-064-034,,7.97181,8.55619,0.14780947,139.19067,53.93301255
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-3a ,89.7,1061,3732,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 11.FEB.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.09220182,7.60285601,0.182468544,83,60.78966586,Gakkel_EVZ,HLY0102-064-035,,8.04462,8.55411,0.15118911,147.9329,53.20899104
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-24a-LA ,89.69,1053,3740,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 12-MAR-03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.15911044,7.726617342,0.18251852,91,61.13960622,Gakkel_EVZ,HLY0102-076-003,,9.42005,8.70678,0.17222991,159.67069,54.69462302
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-58a-LA ,89.68,1061,3654,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 12.APR.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.10852934,7.315501426,0.182887536,79,60.73967414,Gakkel_EVZ,HLY0102-076-005,,9.39869,8.81788,0.1687807,157.66385,55.68581005
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-16a ,89.68,1061,3505,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 28.JUN.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.09893527,7.193283943,0.1828801,77,60.68968286,Gakkel_EVZ,HLY0102-076-013,,9.42611,8.78545,0.17059194,167.28215,55.2553069
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-18a ,89.68,1069,3709,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 31.JUL.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.18167331,7.539031574,0.182887558,84,61.13960639,Gakkel_EVZ,HLY0102-076-014,,9.32075,8.89212,0.16846172,162.89782,55.32859334
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-60b ,89.68,1084,3670,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 29-AUG-03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.11810279,7.176150714,0.18244451,78,60.93964017,Gakkel_EVZ,HLY0102-076-017,,9.31685,8.78727,0.17064714,156.52073,54.59716465
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-26a-LA ,89.65,1053,3764,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 19.SEP.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.1769012,7.568503179,0.183108948,89,61.03962325,Gakkel_EVZ,HLY0102-076-019,,9.27055,8.68511,0.1689605,144.35558,54.86814966
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-32b ,89.63,1069,3725,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 09.OCT.03,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.07252885,7.54498064,0.182294834,82,60.73967433,Gakkel_EVZ,HLY0102-076-020,,9.38569,8.71554,0.16941437,157.80779,55.40079038
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-32a ,89.62,1069,3685,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 15-JAN-04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.03746953,7.258192529,0.172331387,78,64.04793533,Gakkel_EVZ,HLY0102-076-021,,9.30865,8.80512,0.17049415,159.17276,54.59806099
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-23b ,89.62,1092,3748,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 01.MAR.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.04379276,7.296891963,0.182422299,79,60.53970825,Gakkel_EVZ,HLY0102-076-022,,9.33935,8.78331,0.16941443,158.07308,55.12724034
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-29a ,89.62,1084,3787,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 16.MAR.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.04278804,7.277846732,0.182707449,79,60.43972537,Gakkel_EVZ,HLY0102-077-001,,8.51553,8.66806,0.1603044,153.90116,53.1209998
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-13a-LA ,89.59,1084,3662,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 23.APR.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.14024593,7.217539433,0.182209972,77,61.13960618,Gakkel_EVZ,HLY0102-078-004,,8.42973,8.61888,0.15904193,147.18523,53.0031923
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-34a ,89.59,1069,3748,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 02.JUN.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.05578165,7.142484113,0.182620332,77,60.53970842,Gakkel_EVZ,HLY0102-079-028,,8.23393,8.51741,0.15524438,146.77707,53.03850613
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-43a ,89.59,1100,3701,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 07.JUN.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.04216937,7.077180535,0.182244992,75,60.58969988,Gakkel_EVZ,HLY0102-079-035,,8.16377,8.6919,0.15329412,151.23326,53.2555978
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-4a-LA ,89.57,1076,3709,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 23-JUL-04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.02011572,7.048652567,0.171918355,75,64.10086765,Gakkel_EVZ,HLY0102-079-039,,9.36333,9.27616,0.16575519,184.03398,56.48890994
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-46a ,89.57,1084,3795,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 10.AUG.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,10.9762837,7.557862362,0.172230107,87,63.73034245,Gakkel_EVZ,HLY0102-079-SG1,,9.54389,8.56336,0.17624985,146.68043,54.14977658
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-7a ,89.55,1084,3599,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 15.OCT.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.03146327,7.311126817,0.171670105,80,64.25966402,Gakkel_EVZ,HLY0102-080-009,,8.402,9.1791,0.15689915,158.72738,53.55032197
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-35a ,89.55,1092,3748,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 31-OCT-04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.06688996,6.990163116,0.182352081,75,60.68968283,Gakkel_EVZ,HLY0102-081-127,,9.14366,8.79364,0.16433593,129.18014,55.64005388
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-4a ,89.54,1053,3772,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 04.DEC.04,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.05441408,6.765232154,0.182296675,67,60.63969121,Gakkel_EVZ,HLY0102-081-131,,9.41016,8.80421,0.1630886,158.73759,57.69967981
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-60a ,89.54,1092,3670,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 31.JAN.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.12403065,6.762280042,0.181944754,69,61.13960642,Gakkel_EVZ,HLY0102-R015,,7.68041,8.79419,0.14352072,157.03895,53.51429396
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-24a ,89.5,1069,3740,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 6-FEB-05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.02220213,7.12243853,0.182366847,78,60.43972526,Gakkel_EVZ,HLY0102-R016,,7.76602,8.711,0.14480955,149.21625,53.6291978
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-10a-LA ,89.42,1092,3654,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 23-JUN-05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.05195162,7.06748526,0.182256067,77,60.63969119,Gakkel_EVZ,HLY0102-R017,,8.63486,8.58843,0.16070572,157.58003,53.73088151
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-20a-LA ,89.38,1138,3764,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 04.MAR.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.02939983,7.173575521,0.182637001,91,60.38973357,Gakkel_EVZ,HLY0102-R018,,7.94847,8.56298,0.14847383,142.97477,53.53448483
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-10a ,89.37,1092,3638,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 24.MAR.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.03088921,7.363267812,0.171944441,86,64.1537996,Gakkel_EVZ,POL0059-270-008,,8.35276,8.86208,0.15310207,180.9414,54.55680645
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-21a ,89.37,1084,3615,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 22.APR.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.04188735,7.239498666,0.18149161,83,60.83965727,Gakkel_EVZ,POL0059-270-010,,8.32339,8.82344,0.15680181,155.77046,53.08223164
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-39a ,89.32,1107,3622,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 23.JUN.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.06162306,6.936207143,0.172139447,77,64.2596642,Gakkel_EVZ,POL0059-270-014,,8.37324,8.6315,0.15746736,159.0973,53.17444834
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-48a ,89.32,1100,3662,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 16.JUL.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.05651646,7.018314468,0.171918366,82,64.31259625,Gakkel_EVZ,POL0059-270-036,,8.36055,8.61471,0.15739481,152.04529,53.11833344
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-39a-LA ,89.31,1107,3654,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 08.AUG.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,10.98506651,7.000434649,0.182355751,79,60.2397591,Gakkel_EVZ,POL0059-271-018,,8.6632,8.52191,0.16417967,148.95908,52.76658188
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-28a-LA ,89.25,1115,3560,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 23.SEP.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.03848584,7.032850279,0.171779389,83,64.25966412,Gakkel_EVZ,POL0059-274-008,,9.46245,8.79838,0.16795046,155.64583,56.34072095
,WPM-THICK,SR-104-5.5(n),Hawaii,"Mauna Loa, HSDP-2",SR104-39b ,89.25,1107,3646,,,,,,,,,Kilauea,2008, [12150] MARSKE J. P.(2008)  [GeoReM [4073] ],samp. 22.OCT.05,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUU OO ERUPTION,11.0358005,7.062979703,0.172020996,82,64.15379957,Gakkel_EVZ,POL0059-294-018,,8.93695,8.63181,0.16548939,160.92628,54.00315996
